segment0,segment3,segment2,segment1
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,10,47
28,12,14,47
28,12,14,47
28,12,14,47
33,12,14,47
33,12,14,52
33,12,14,52
33,16,14,52
33,16,19,52
33,16,19,52
33,16,19,52
28,16,19,47
28,21,19,47
28,16,19,47
28,21,24,47
28,21,24,47
23,21,24,47
23,21,24,42
23,21,24,42
23,26,22,42
23,26,22,42
23,26,22,42
18,26,22,42
23,26,22,42
18,26,22,37
18,31,18,37
18,31,18,37
19,31,18,37
19,31,18,32
19,26,13,32
19,26,13,32
19,26,13,32
19,26,13,32
18,26,22,37
19,21,8,37
19,21,8,37
19,21,8,37
24,21,8,42
24,21,8,42
24,16,8,42
18,31,18,37
24,16,3,42
18,31,18,37
24,16,3,42
24,16,3,42
21,16,3,47
21,16,3,47
21,11,3,47
21,11,0,47
21,11,0,47
26,11,0,47
26,11,0,52
19,26,13,32
26,6,0,52
26,6,5,52
26,6,5,52
31,6,5,52
31,6,5,47
31,6,5,47
31,11,10,47
31,11,10,47
31,11,10,47
26,11,10,42
26,11,10,42
26,6,15,42
26,6,15,42
21,6,15,42
21,6,15,37
21,7,14,37
21,7,14,37
19,26,13,37
16,7,14,37
16,7,14,32
16,7,14,32
16,12,12,32
16,12,12,32
16,12,12,32
11,12,12,32
11,12,12,27
11,17,13,27
11,17,13,27
12,17,13,27
12,17,13,27
12,12,13,32
19,21,13,37
12,12,8,32
12,12,8,32
21,16,3,42
11,12,8,32
11,12,8,37
11,12,8,37
11,7,8,37
11,7,3,37
11,7,3,37
14,7,3,37
14,7,3,37
14,3,8,42
24,21,8,37
14,3,8,42
14,3,8,42
31,11,5,47
14,3,8,42
19,3,8,42
19,3,8,47
19,8,6,47
19,8,6,47
19,8,8,47
19,8,6,47
21,11,0,47
24,8,6,52
24,8,6,52
24,11,11,52
24,11,11,52
24,11,11,52
24,11,11,52
26,11,0,52
29,11,11,52
29,11,11,47
29,16,11,47
29,16,6,47
29,16,6,47
24,16,6,47
24,16,6,42
24,16,6,42
24,13,7,42
24,13,7,42
24,13,7,42
19,13,7,42
19,13,7,37
19,13,7,37
19,15,6,37
19,15,6,37
26,6,5,52
19,15,6,37
14,15,6,37
14,15,6,32
26,11,10,47
14,20,6,32
14,20,1,32
14,20,1,32
19,20,1,32
14,20,1,32
19,25,1,27
19,25,6,27
19,25,6,27
24,25,6,27
21,6,15,37
24,25,6,22
24,20,6,22
24,20,8,22
24,20,8,22
24,20,8,22
29,20,8,22
26,6,10,42
29,15,8,17
29,15,9,17
29,15,9,17
21,7,14,37
34,15,9,17
34,15,9,22
34,15,9,22
34,10,9,22
34,10,4,22
34,10,4,22
34,10,4,22
39,10,4,24
39,10,4,24
39,11,5,24
39,11,5,24
26,6,15,42
39,11,5,24
44,11,5,28
44,11,5,28
44,16,9,28
44,16,9,28
44,16,9,28
39,16,9,28
21,7,15,37
39,21,9,23
39,21,4,23
39,21,4,23
39,21,4,23
34,21,4,23
34,21,4,27
34,26,9,27
34,26,9,27
34,26,9,27
29,26,9,27
29,26,9,22
29,31,14,22
24,31,14,22
24,31,14,17
24,36,19,17
24,36,19,17
24,36,19,17
19,36,19,17
29,31,14,22
19,36,19,16
19,36,19,16
19,31,19,16
19,31,24,16
19,31,24,16
19,31,24,16
14,31,24,21
14,26,24,21
14,26,19,21
14,31,24,21
14,26,19,21
9,26,19,21
14,31,24,16
14,26,19,21
9,26,19,26
9,21,19,26
9,21,14,26
9,21,14,26
9,21,14,26
9,21,14,31
9,21,14,31
9,16,14,31
9,16,9,31
9,16,9,31
14,16,9,31
14,14,9,36
14,14,10,36
14,14,10,36
9,26,19,26
14,14,10,36
9,21,14,26
19,14,10,36
19,14,10,41
19,19,10,41
19,19,13,41
19,19,13,41
19,19,13,41
22,19,13,41
22,19,13,36
19,14,10,36
22,24,8,36
22,24,8,36
22,24,8,36
22,24,13,36
17,24,8,36
17,21,8,31
17,21,13,31
17,21,13,31
12,26,13,26
12,26,18,26
12,21,13,26
12,26,18,26
7,26,18,26
7,31,23,21
7,31,23,21
12,31,23,21
12,26,23,16
12,26,18,16
12,26,18,16
17,26,18,16
14,16,9,36
14,16,9,36
17,21,15,15
22,21,15,20
22,21,15,20
22,16,15,20
22,16,10,20
22,16,10,20
27,16,10,20
27,16,10,25
27,11,10,25
27,11,5,25
27,11,5,25
32,11,5,25
27,16,10,25
32,11,5,30
32,14,5,30
32,14,10,30
22,16,10,20
32,14,10,30
27,14,10,30
22,19,13,41
17,21,13,31
17,24,8,31
27,17,7,25
27,17,7,25
27,17,7,25
22,17,7,25
17,21,13,31
22,15,7,23
22,15,12,23
22,15,12,23
22,17,7,23
17,15,12,23
17,15,12,18
22,15,12,23
17,24,8,36
17,20,12,18
17,20,17,18
17,20,17,18
12,20,17,18
12,25,22,13
12,25,22,13
7,26,18,21
7,25,22,13
7,25,22,8
7,30,22,8
7,30,27,8
7,30,27,8
7,30,27,8
12,30,27,8
12,26,18,26
12,25,22,13
12,25,27,13
12,21,13,26
17,25,22,13
17,26,18,15
27,11,5,25
17,25,22,18
17,20,22,18
17,20,17,18
17,20,17,18
7,26,18,21
17,20,17,18
22,20,17,23
22,20,17,18
22,15,17,23
12,31,23,21
22,15,12,23
22,15,12,23
27,15,12,23
27,15,12,28
27,10,7,28
27,10,7,28
7,31,23,21
27,10,7,28
32,10,7,33
32,10,7,33
32,10,7,28
7,31,18,21
32,5,12,33
32,5,12,33
27,5,12,28
27,5,12,28
27,10,12,28
27,10,8,28
27,10,8,28
22,10,8,28
22,10,8,23
22,10,8,23
12,26,18,16
17,26,18,15
17,5,8,23
17,5,8,23
17,5,8,22
22,17,7,23
17,9,13,22
12,9,13,22
17,9,13,22
12,9,13,17
17,21,18,15
17,21,15,15
12,14,16,17
17,21,15,15
11,14,16,17
11,14,16,17
11,14,16,20
11,10,12,20
11,10,12,20
11,10,12,20
16,10,12,20
16,10,12,25
16,10,12,25
16,7,7,25
16,7,7,25
18,7,7,25
18,7,7,29
18,7,7,29
18,2,7,29
18,2,5,29
23,2,5,29
18,2,5,29
23,6,5,34
23,2,5,34
23,6,3,34
23,6,3,34
28,6,3,39
28,2,7,39
27,14,10,30
28,2,7,39
33,2,7,39
33,2,7,44
33,2,7,44
33,6,12,44
33,6,12,44
33,6,7,44
28,6,12,39
28,6,12,44
28,11,17,39
28,11,17,39
23,11,17,39
23,11,17,34
23,11,17,34
23,16,17,34
18,16,21,34
18,16,21,29
27,14,10,25
32,11,5,30
18,21,17,29
13,21,17,29
13,21,17,24
32,14,10,30
13,26,19,24
12,20,17,13
27,17,10,25
13,26,19,24
10,26,19,24
10,26,19,26
10,26,19,26
10,21,14,26
10,21,14,26
15,21,14,26
15,16,14,21
15,16,9,21
15,16,9,21
15,16,9,21
15,16,9,21
20,16,9,16
20,16,9,21
20,16,9,16
20,12,9,16
20,12,9,16
20,12,9,16
25,12,9,11
25,9,6,11
25,12,9,11
25,9,6,11
25,9,6,11
