segment0,segment3,segment2,segment1
7,25,22,8
7,25,22,9
7,23,22,9
2,23,22,9
2,23,22,9
2,23,20,9
2,23,20,9
2,23,20,9
2,23,20,10
2,23,20,10
0,28,20,10
0,28,20,10
0,28,22,10
0,28,22,10
0,28,22,10
0,28,22,10
0,28,22,5
0,26,22,5
2,26,22,5
2,26,22,5
2,26,27,5
2,26,27,5
2,26,27,5
2,26,27,3
7,30,27,3
7,30,27,3
7,30,32,3
7,30,32,3
7,30,32,3
7,30,32,1
7,30,32,1
11,35,32,1
11,35,32,1
11,35,37,1
11,35,37,1
11,35,37,1
11,35,37,1
11,35,37,6
11,35,37,6
6,35,37,6
6,35,42,6
6,35,42,6
6,35,42,6
6,35,42,9
6,30,42,9
9,30,42,9
9,30,42,9
9,30,47,9
9,30,47,9
9,30,47,9
9,30,47,14
9,25,47,14
14,25,47,14
14,25,47,14
14,25,42,14
14,25,42,14
14,25,42,14
14,25,42,11
14,20,42,11
19,20,42,11
19,20,37,11
19,20,37,11
19,20,37,11
19,20,37,11
19,20,37,16
19,15,37,16
14,15,37,16
14,15,37,16
14,15,32,16
14,15,32,16
14,15,32,21
14,15,32,21
9,10,32,21
9,10,32,21
14,15,32,16
9,10,27,21
9,10,27,21
9,10,27,21
9,10,27,19
9,7,27,19
6,7,27,19
6,7,27,19
6,7,22,19
6,7,22,19
6,7,22,19
6,7,22,14
6,6,22,14
2,6,22,14
2,6,22,14
2,6,27,14
2,6,27,14
2,6,27,14
2,6,27,9
2,8,27,9
3,8,27,9
3,8,32,9
3,8,32,9
3,8,32,9
3,8,32,9
3,8,32,4
3,8,32,4
0,8,32,4
0,8,32,4
0,8,37,4
0,8,37,4
0,8,37,4
0,8,37,9
3,13,37,9
3,13,37,9
3,13,42,9
3,13,42,9
3,13,42,9
3,13,42,10
3,13,42,10
8,12,42,10
8,12,42,10
8,12,37,10
8,12,37,10
8,12,37,10
8,12,37,6
8,7,37,6
11,7,37,6
11,7,32,6
11,7,32,6
11,7,32,6
11,7,32,6
11,7,32,11
6,5,32,11
6,5,32,11
6,5,27,11
6,5,27,11
6,5,27,11
6,5,27,16
11,3,27,16
6,5,27,16
11,3,27,16
11,3,22,16
11,3,22,16
11,3,22,16
11,3,22,21
11,3,22,21
16,3,22,21
16,3,22,21
16,3,17,21
16,3,17,21
16,3,17,16
16,3,17,21
