segment0,segment3,segment2,segment1
7,0,0,8
7,0,0,8
7,0,0,8
7,0,0,8
7,0,0,8
7,0,0,13
12,0,0,13
12,0,0,13
12,0,2,13
12,0,2,13
12,0,2,13
12,0,2,13
12,0,2,18
7,0,2,18
7,0,2,18
7,0,0,18
7,0,0,18
7,0,0,18
7,0,0,18
7,0,0,13
2,0,0,13
2,3,0,13
2,3,5,13
2,3,5,13
2,3,5,13
2,3,5,13
2,3,5,8
6,3,5,8
6,8,5,8
6,8,10,8
6,8,10,8
6,8,10,8
6,8,10,8
6,8,10,3
4,7,15,3
4,7,15,3
4,8,10,3
4,7,15,3
4,7,15,3
4,7,15,7
4,7,15,7
5,3,15,7
5,3,20,7
5,3,20,7
5,3,20,7
5,3,20,7
5,3,20,12
10,3,20,12
10,3,20,12
10,3,15,12
10,3,15,12
10,3,15,12
10,3,15,12
10,3,15,17
15,3,15,17
15,6,15,17
15,6,10,17
15,6,10,17
15,6,10,17
15,6,10,17
15,6,10,22
13,6,10,22
13,2,10,22
13,2,5,22
13,2,5,22
13,2,5,22
13,2,5,22
13,2,5,27
13,2,5,27
13,3,7,27
13,3,7,27
13,2,5,27
13,3,7,27
13,3,7,27
13,3,7,32
13,3,7,32
18,3,7,32
18,7,12,32
18,7,12,32
18,7,12,32
18,7,12,32
18,7,12,27
18,7,12,27
13,9,12,27
13,9,17,27
13,9,17,27
13,9,17,27
13,9,17,27
13,9,17,22
8,9,17,22
8,8,17,22
8,8,22,22
8,8,22,22
8,8,22,22
8,8,22,22
8,8,22,17
3,8,22,17
3,13,22,17
3,13,27,17
3,13,27,17
3,13,27,17
3,13,27,17
8,13,27,12
8,18,27,12
8,18,32,12
3,13,27,12
8,18,32,12
8,18,32,12
8,18,32,12
8,18,32,14
6,18,32,14
6,13,32,14
6,13,27,14
6,13,27,14
6,13,27,14
6,13,27,14
6,13,27,19
6,13,27,19
10,8,27,19
10,8,22,19
10,8,22,19
10,8,22,19
10,8,22,19
10,8,22,24
10,8,22,24
8,8,22,24
8,3,22,24
8,3,17,24
8,3,17,24
8,3,17,24
8,3,17,24
8,3,17,29
8,3,17,29
13,6,17,29
13,6,12,29
13,6,12,29
13,6,12,29
13,6,12,29
13,6,12,34
18,3,12,34
18,3,17,34
18,6,12,34
18,3,17,34
18,3,17,34
18,3,17,34
18,3,17,39
18,3,17,39
15,3,17,39
15,3,22,39
15,3,22,39
15,3,22,39
15,3,22,39
15,3,22,44
10,3,22,44
10,8,22,44
10,8,27,44
10,8,27,44
10,8,27,44
10,8,27,44
10,8,27,44
6,8,27,44
6,13,27,44
6,13,32,44
6,13,32,44
6,13,32,44
6,13,32,44
6,13,32,39
1,13,32,39
1,18,37,39
1,18,37,39
1,18,37,39
1,18,37,39
1,18,37,34
0,18,37,34
0,23,37,34
0,23,42,34
0,23,42,34
0,23,42,34
0,23,42,34
0,23,42,29
5,23,42,29
5,28,42,29
5,28,37,29
5,28,37,29
5,28,37,29
5,28,37,29
5,28,37,24
10,28,37,24
10,23,32,24
10,23,32,24
10,23,32,24
10,23,32,24
10,23,32,24
10,23,32,29
15,18,27,29
15,23,32,29
15,18,27,29
15,18,27,29
15,18,27,29
15,18,27,29
15,18,27,31
20,18,27,31
20,13,27,31
20,13,22,31
20,13,22,31
20,13,22,32
20,13,22,32
25,8,22,32
25,8,17,32
20,13,22,31
20,13,22,31
25,8,17,32
25,8,17,32
25,8,17,32
25,8,17,28
20,8,17,28
20,13,17,28
20,13,22,28
20,13,22,28
20,13,22,28
15,13,22,23
15,18,27,23
15,18,27,23
15,18,27,23
15,18,27,23
15,18,27,23
14,18,27,23
14,23,32,23
14,23,32,23
14,23,32,23
14,23,32,23
14,23,32,18
20,13,22,23
15,18,22,23
9,23,32,18
9,28,36,18
9,28,36,18
9,28,36,18
9,28,36,18
9,28,36,18
9,28,36,13
4,28,36,13
4,33,35,13
4,33,35,13
4,33,35,13
4,33,35,13
4,33,35,16
9,33,35,16
9,28,35,16
9,28,30,16
9,28,30,16
9,28,30,16
9,28,30,21
9,28,30,16
14,23,30,21
14,23,25,21
14,28,30,21
14,23,25,21
14,23,25,21
14,23,25,21
14,23,25,26
12,18,25,26
12,23,25,26
12,18,20,26
12,18,20,26
12,18,20,26
12,18,20,31
12,18,20,31
12,13,15,31
12,13,15,31
12,13,15,31
12,13,15,31
12,13,15,36
12,13,15,36
17,8,15,36
12,18,20,31
17,8,16,36
17,8,16,36
17,8,16,36
17,8,16,36
17,8,16,32
17,8,16,32
18,5,16,32
18,5,21,32
18,5,21,32
18,5,21,32
18,5,21,32
18,5,21,27
13,5,21,27
13,1,21,27
13,1,26,27
13,1,26,27
13,1,26,27
13,1,26,27
13,1,26,22
8,1,26,22
8,4,31,22
8,4,31,22
8,4,31,22
8,4,31,22
8,4,31,22
8,4,31,17
10,3,31,17
10,3,36,17
10,3,36,17
10,4,31,17
10,3,36,17
10,3,36,12
10,3,36,12
13,3,36,12
13,8,35,12
13,8,35,12
13,8,35,12
13,8,35,12
13,8,35,17
18,8,35,17
18,4,35,17
18,4,30,17
13,8,35,12
18,4,30,17
18,4,30,17
18,4,30,17
23,4,30,22
23,0,25,22
23,0,25,22
23,0,25,22
23,0,25,22
23,0,25,22
18,4,30,22
23,0,25,27
26,0,25,27
26,0,25,27
26,0,20,27
26,0,20,27
26,0,20,27
26,0,20,27
26,0,20,32
31,0,20,32
31,2,20,32
31,2,15,32
31,2,15,32
31,2,15,32
31,2,15,32
31,2,15,37
26,2,15,37
26,7,15,37
26,7,20,37
26,7,20,37
26,7,20,37
26,7,20,32
21,7,20,32
21,7,20,32
21,9,24,32
21,9,24,32
21,9,24,32
21,9,24,32
21,9,24,27
21,9,24,27
16,9,24,27
16,9,20,27
16,9,20,27
16,9,20,27
16,9,20,27
16,9,20,22
11,9,20,22
11,10,20,22
11,10,16,22
11,10,16,22
11,10,16,22
6,10,16,17
6,11,16,17
11,10,16,17
6,11,21,17
6,11,21,17
6,11,21,17
6,11,21,12
6,11,21,17
5,6,21,12
5,11,21,12
5,6,17,12
5,6,17,12
5,6,17,12
5,6,17,12
5,6,17,12
5,6,17,17
10,1,17,17
10,1,12,17
10,1,12,17
10,1,12,17
10,1,12,17
10,1,12,22
10,1,12,22
15,0,12,22
11,10,16,22
15,0,7,22
15,0,7,22
15,0,7,22
15,0,7,22
15,0,7,27
15,0,7,27
20,0,7,27
20,0,2,27
20,0,2,27
20,0,2,27
20,0,2,27
20,0,2,32
24,4,4,32
24,4,4,32
24,0,2,32
24,4,4,32
24,4,4,32
24,4,4,32
24,4,4,35
19,9,4,35
19,9,9,35
19,9,9,35
19,9,9,35
19,9,9,35
19,9,9,30
14,9,9,30
14,11,9,30
14,11,14,30
14,11,14,30
14,11,14,30
14,11,14,25
14,11,14,25
14,16,19,25
14,16,19,25
14,16,19,25
14,16,19,25
14,16,19,20
9,16,19,20
9,21,24,20
9,21,19,20
9,21,24,20
9,21,24,20
9,21,24,20
9,21,24,15
14,21,24,15
14,26,24,15
14,16,14,25
14,26,26,15
14,26,26,15
14,26,26,15
14,26,26,15
14,26,26,20
19,26,26,20
19,21,26,20
19,21,21,20
19,21,21,20
19,21,21,20
19,21,21,20
19,21,21,25
19,21,21,25
24,21,21,25
24,16,16,25
24,16,16,25
24,16,16,25
24,16,16,25
24,16,16,25
24,16,16,30
29,16,16,30
29,11,16,30
29,11,11,30
29,11,11,30
29,11,11,35
29,11,11,35
29,11,11,30
34,6,6,35
34,6,6,35
34,6,11,35
34,6,6,35
34,6,6,40
34,6,6,35
39,6,6,40
39,3,6,40
39,3,9,40
39,3,9,40
39,3,9,40
39,3,9,40
39,3,9,35
44,3,9,35
44,1,9,35
44,1,12,35
44,1,12,35
44,1,12,35
44,1,12,40
44,1,12,40
41,1,12,40
41,6,12,40
41,6,7,40
41,6,7,40
41,6,7,40
41,6,7,35
39,11,7,35
39,11,3,35
41,6,7,35
39,11,3,35
39,11,3,35
39,11,3,35
39,11,3,30
34,11,3,30
34,16,3,30
34,16,8,30
34,16,8,30
34,16,8,25
34,16,8,30
34,16,8,25
34,16,8,25
34,16,8,25
34,16,8,25
34,16,8,25
34,16,8,25
29,16,8,25
29,12,8,25
29,12,7,25
29,12,7,25
29,12,7,25
29,12,7,29
29,12,7,29
24,12,7,29
24,12,5,29
24,12,5,29
24,12,5,29
24,12,5,34
24,12,5,34
24,12,5,29
24,12,5,34
