segment0,segment3,segment2,segment1
5,8,17,19
5,8,17,19
6,12,15,24
5,8,17,19
5,8,17,19
5,8,17,19
5,8,17,24
5,4,12,24
5,4,12,24
5,8,17,24
5,4,12,24
5,4,12,19
5,4,12,19
10,9,12,19
10,9,7,19
10,9,7,19
10,9,7,14
10,9,7,19
10,9,7,19
11,6,7,14
11,6,8,14
11,6,8,14
11,6,8,14
11,6,8,14
12,3,8,19
12,6,8,19
12,3,11,19
12,3,11,19
12,3,11,19
12,3,11,19
12,3,11,14
7,3,11,14
7,3,11,14
7,3,6,14
7,3,6,14
7,3,6,14
7,3,6,9
7,3,6,9
2,3,6,9
2,0,1,9
2,0,1,9
2,0,1,9
2,0,1,6
2,0,1,6
0,0,1,6
0,0,2,6
0,0,2,6
0,0,2,6
0,0,2,6
0,0,2,10
3,0,6,10
3,0,6,10
3,0,6,10
3,0,2,10
3,0,6,10
3,0,6,15
7,1,6,15
7,1,7,15
7,1,7,15
7,0,6,15
12,0,10,10
7,1,7,10
12,0,10,10
7,1,7,15
12,0,10,10
7,5,10,5
7,0,10,5
12,0,10,5
7,5,5,5
7,5,5,4
9,8,5,4
9,8,10,4
9,8,10,9
11,8,10,9
11,12,10,9
9,8,10,4
11,12,15,9
11,12,15,9
11,12,15,9
9,8,10,4
11,12,15,9
11,12,15,4
16,7,15,4
11,12,15,4
16,7,10,4
16,7,10,4
16,7,10,4
16,7,10,5
16,7,10,5
13,7,10,5
13,2,6,5
13,2,6,5
13,2,6,5
13,2,6,5
13,2,6,5
10,2,6,10
10,2,2,10
10,2,2,10
10,2,2,10
10,2,2,15
15,2,2,15
15,0,1,15
15,0,1,15
16,7,10,4
15,0,1,20
15,0,1,20
16,4,6,20
16,4,6,20
16,0,1,20
16,4,6,20
16,4,6,20
16,4,6,17
21,4,6,17
21,0,2,17
21,0,2,17
21,0,2,17
21,0,2,20
21,0,2,20
26,0,2,20
26,2,2,20
26,2,2,20
26,2,2,20
26,2,2,20
26,2,2,20
21,5,2,20
26,2,2,20
21,5,6,20
21,5,6,20
21,5,6,25
16,7,6,25
16,7,11,25
16,7,11,25
16,7,11,25
16,7,11,25
16,7,11,30
20,5,11,30
20,5,6,30
20,5,6,30
20,5,6,30
20,5,6,30
20,5,6,35
15,5,6,35
15,0,6,35
15,0,11,35
15,0,11,35
15,0,11,30
15,0,11,35
10,5,16,30
10,5,16,30
10,5,16,30
15,0,1,15
13,2,6,10
10,5,16,25
15,0,1,15
5,5,16,25
5,7,16,25
5,7,17,25
5,7,17,25
5,7,17,25
5,7,17,25
10,2,2,10
5,7,17,20
21,0,2,17
10,2,12,20
10,2,17,20
10,2,12,20
10,2,12,20
10,2,12,16
10,2,12,20
15,7,7,16
15,7,7,16
15,2,12,16
15,7,7,16
15,7,7,16
15,7,7,16
15,7,7,21
10,7,7,21
10,9,7,21
10,9,5,21
10,9,5,21
10,9,5,21
10,9,5,21
10,9,5,26
12,4,5,26
12,4,5,26
12,4,5,26
12,4,5,28
17,4,5,28
12,9,5,26
17,0,5,28
17,0,7,28
17,0,7,28
17,0,7,28
17,0,7,23
17,0,7,23
22,5,7,23
22,5,4,23
22,5,4,23
22,5,4,23
22,5,4,23
19,5,4,18
19,10,4,18
19,10,4,13
19,10,4,18
14,10,4,13
14,15,3,13
14,15,3,13
10,7,17,20
14,15,3,8
12,10,8,8
14,15,3,8
21,5,6,20
12,10,8,8
16,5,6,25
21,5,6,20
7,10,8,13
