segment0,segment3,segment2,segment1
1,6,14,2
1,6,14,2
1,6,14,2
1,6,14,2
1,6,14,2
1,6,14,2
1,6,14,2
1,6,14,2
1,6,14,2
1,6,14,2
1,6,14,2
1,6,14,5
6,6,14,5
6,11,14,5
6,11,19,5
6,11,19,5
6,11,19,5
6,11,19,5
6,11,19,0
11,10,19,0
11,10,14,0
11,10,14,0
11,10,14,0
16,5,15,0
16,10,14,0
16,5,15,0
16,5,15,0
11,11,19,0
11,10,14,0
16,5,15,4
16,5,14,0
16,5,15,4
21,5,15,4
21,10,18,4
21,10,18,4
21,10,18,4
11,10,14,0
16,13,18,9
16,13,23,9
16,13,23,9
16,13,23,9
16,13,23,14
16,13,23,9
11,13,23,14
11,16,23,14
11,16,18,14
10,11,13,19
10,11,13,19
10,11,13,19
10,11,13,19
15,6,8,24
11,16,18,19
15,6,8,24
15,6,8,29
15,6,8,29
12,7,13,29
12,7,13,29
12,7,8,29
12,7,13,29
21,10,18,9
21,10,18,4
12,7,13,24
8,7,13,24
12,7,13,29
8,12,18,24
8,7,13,24
8,12,18,24
8,12,18,24
8,12,18,24
6,17,18,19
6,17,13,19
6,17,13,19
6,17,13,19
6,17,13,24
21,10,18,9
6,12,15,24
6,17,13,24
6,12,13,24
6,12,15,24
6,12,15,19
5,12,15,19
11,16,18,14
5,7,15,19
5,7,10,19
5,7,10,19
5,7,10,24
5,7,10,19
9,2,5,24
9,2,5,24
9,2,5,24
9,2,5,24
9,2,5,24
6,7,5,19
5,7,10,19
6,7,7,19
6,7,7,19
6,7,7,19
6,7,7,21
11,16,18,14
4,7,7,21
4,7,12,21
4,7,12,21
4,7,12,21
15,11,13,24
4,7,12,26
9,2,12,26
8,12,18,19
9,2,8,26
9,2,8,26
11,16,18,14
9,2,8,26
9,2,8,26
9,2,8,21
4,2,8,21
4,7,8,21
4,7,8,21
4,7,8,21
4,7,8,21
4,7,8,21
4,7,8,16
2,7,8,16
2,6,11,16
2,6,11,16
2,6,8,16
2,6,11,16
2,6,11,11
2,6,11,11
2,2,9,11
2,2,9,11
2,2,9,16
2,2,9,11
2,2,9,16
7,6,14,16
7,2,9,16
7,6,14,16
7,6,14,11
7,6,14,11
12,3,10,11
12,3,10,11
12,3,10,11
12,3,10,6
7,6,14,16
8,3,10,6
10,11,13,24
8,2,5,6
8,2,5,6
8,2,5,5
11,2,5,5
11,2,5,5
11,2,0,5
11,2,0,5
10,16,18,19
11,2,0,5
11,2,0,10
11,2,0,5
11,2,0,10
16,0,1,10
16,0,1,10
16,0,1,10
15,6,8,24
16,0,1,10
20,0,1,15
20,5,6,15
20,5,6,15
20,5,6,15
20,5,6,15
16,0,1,15
20,5,6,19
20,5,6,19
15,10,11,19
15,10,11,19
15,10,11,19
15,10,11,16
15,10,11,16
10,5,6,16
15,6,8,24
10,5,6,16
6,17,13,19
10,5,6,16
5,5,6,15
5,0,4,15
5,0,4,15
5,0,4,15
5,0,4,14
5,0,4,14
7,0,4,14
7,5,4,14
5,0,4,15
10,5,6,15
7,5,4,14
7,5,4,14
7,5,4,14
7,5,4,9
12,5,4,9
12,10,4,9
12,10,9,9
12,10,9,9
12,10,9,9
12,10,9,14
7,9,9,14
7,9,10,14
7,9,10,14
7,9,10,14
7,9,10,9
7,9,10,9
12,4,5,9
12,4,10,9
7,7,5,4
12,10,9,9
8,12,18,19
7,7,5,4
7,7,5,4
7,7,5,4
7,7,5,4
7,7,5,5
7,12,4,5
7,12,4,5
7,12,4,5
7,12,4,5
7,12,4,10
7,12,4,10
2,12,4,10
2,7,9,10
2,7,9,10
2,7,9,10
2,7,9,15
2,7,4,10
2,7,9,15
1,7,9,15
1,6,7,15
1,6,7,15
1,6,7,15
1,6,7,20
1,6,7,20
6,10,7,20
1,6,7,15
6,10,12,20
6,10,12,20
6,10,12,20
6,10,12,19
5,10,12,19
