segment0,segment3,segment2,segment1
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,10,37
30,14,13,42
30,14,13,42
30,14,10,37
35,14,13,47
35,19,13,47
35,19,18,47
40,19,18,47
30,14,10,37
40,19,18,42
40,24,23,42
30,14,10,37
40,24,23,42
40,24,23,42
35,24,23,42
35,28,26,37
30,14,10,37
36,28,26,37
30,14,10,37
36,23,26,42
36,23,21,42
36,23,21,42
36,23,21,42
31,23,21,42
31,23,21,40
31,22,21,40
31,22,16,40
26,22,16,40
26,22,16,35
26,27,13,35
21,27,13,32
26,27,13,35
30,14,10,42
21,32,18,32
21,32,18,32
40,24,18,42
30,14,13,42
16,37,18,37
16,37,22,37
35,19,18,47
11,42,17,32
11,42,17,32
35,14,13,47
16,42,17,32
16,42,17,27
16,42,17,27
16,37,17,27
16,37,14,27
16,37,14,27
16,32,14,32
35,19,18,47
19,32,9,32
19,32,9,37
24,22,6,42
19,27,9,37
24,22,11,42
19,27,6,37
19,27,6,37
29,22,11,42
29,22,11,47
19,27,6,37
29,17,10,47
29,17,10,47
34,17,10,42
34,22,15,42
34,22,15,42
29,22,15,37
24,27,6,42
29,22,20,37
24,27,25,32
24,27,25,32
19,27,25,27
24,27,6,42
19,32,21,27
29,17,11,47
24,22,11,42
24,22,11,42
34,17,10,42
29,22,20,37
14,37,25,29
14,37,25,29
13,37,25,24
14,37,25,29
13,32,26,24
13,32,26,24
17,32,26,19
17,27,21,19
17,27,21,19
22,22,21,24
22,22,16,24
27,22,16,24
19,32,25,27
27,22,16,29
34,17,10,47
27,17,11,29
27,17,11,29
24,22,20,37
27,17,11,29
32,17,11,34
32,12,11,34
27,12,11,29
27,10,11,29
27,10,6,29
29,22,15,42
34,22,15,42
34,22,15,42
22,8,6,24
22,8,6,24
21,8,6,19
21,13,11,19
21,13,11,19
16,13,11,19
16,13,11,15
29,22,15,37
16,18,11,15
16,18,16,15
16,18,16,15
21,18,16,20
21,13,11,20
21,13,11,20
21,18,16,15
21,13,11,20
21,13,11,20
23,13,11,25
19,27,25,32
29,22,20,37
23,8,6,25
23,8,6,25
18,4,6,20
29,22,20,37
24,22,20,32
23,4,11,15
23,9,11,15
24,22,20,32
23,9,10,15
28,9,10,20
28,9,10,15
28,9,10,20
28,4,8,20
24,27,20,32
28,4,8,20
28,4,8,20
33,4,8,20
27,10,6,29
33,4,8,19
33,9,5,19
28,9,5,18
28,9,5,18
28,14,7,18
23,19,7,13
23,19,11,13
28,14,7,18
18,19,11,13
19,27,25,27
18,19,11,11
18,24,11,11
18,24,16,11
18,24,16,11
18,24,16,11
23,24,16,11
23,24,16,16
23,19,16,16
24,27,25,32
23,19,16,16
14,32,21,27
23,19,16,16
28,19,16,16
28,19,16,21
28,19,16,21
28,14,21,21
23,19,16,16
23,19,16,16
18,19,16,11
18,24,15,11
18,24,15,11
18,24,15,11
13,24,15,11
13,24,15,11
13,24,15,10
13,27,17,10
13,27,17,5
13,22,17,5
13,27,17,5
13,27,17,10
13,22,12,5
14,22,12,6
13,27,15,10
14,17,7,6
14,22,12,5
14,17,7,6
13,27,17,10
13,27,17,10
17,17,7,11
17,12,5,11
17,12,7,11
12,12,5,11
14,22,12,6
13,22,12,5
12,12,5,12
12,12,3,12
12,12,5,12
7,12,3,12
7,7,3,8
7,7,4,8
7,7,4,8
14,17,7,6
6,7,4,12
6,5,5,12
6,5,5,12
7,7,3,8
11,10,5,7
11,10,7,7
11,10,7,7
16,10,7,12
11,5,5,7
7,7,4,8
16,7,11,12
16,7,11,12
16,7,11,12
21,12,11,17
21,7,11,17
21,12,6,17
17,12,5,11
21,12,6,12
21,12,6,12
21,17,3,12
17,17,3,12
17,17,3,9
17,21,3,9
17,21,5,9
17,21,5,9
12,26,5,5
12,21,5,5
12,26,3,5
12,26,3,5
17,17,7,6
6,5,4,12
17,17,7,6
7,25,8,10
7,25,8,10
12,12,3,12
7,25,8,10
17,12,5,11
4,25,8,10
4,20,3,15
4,20,3,15
4,20,3,15
7,20,3,20
4,25,8,15
7,15,7,20
7,15,7,20
17,12,5,11
12,12,5,12
12,12,3,12
10,10,7,25
15,10,12,30
15,10,12,30
15,10,12,30
11,10,7,7
15,10,17,30
10,10,17,30
10,10,17,25
10,10,17,25
15,10,17,30
10,8,17,25
7,12,3,8
10,8,12,25
10,8,12,25
14,8,12,28
14,8,12,25
14,8,12,28
6,5,5,12
14,13,12,28
14,13,8,28
14,13,8,28
19,13,8,33
19,18,5,33
14,18,5,33
19,18,5,33
14,23,10,28
6,7,4,8
21,12,6,17
9,28,10,23
9,28,15,23
9,28,15,23
11,5,5,12
4,28,15,18
4,28,15,18
11,5,5,12
4,33,20,18
4,33,20,18
9,33,20,13
9,33,20,18
21,7,11,12
9,28,20,13
16,7,7,12
9,28,18,13
4,28,18,13
4,28,18,8
4,23,18,8
4,28,18,8
11,10,7,7
9,23,13,8
9,23,13,12
16,10,7,7
21,12,6,17
9,18,8,12
9,18,8,12
14,18,8,12
21,12,6,17
21,7,11,12
14,13,4,17
14,13,4,17
15,13,4,12
15,13,4,12
15,18,4,12
15,18,7,12
10,21,7,7
10,21,12,7
21,17,3,12
5,21,12,7
21,17,3,12
5,16,12,12
21,17,6,12
5,16,9,12
5,16,9,12
5,16,9,12
10,16,9,8
10,16,9,8
10,16,9,12
10,11,6,8
10,11,6,8
5,11,6,8
5,11,6,8
5,11,6,13
5,11,3,13
5,11,3,13
5,11,3,13
