segment0,segment3,segment2,segment1
19,28,9,27
19,28,9,27
19,28,9,27
19,28,9,27
19,28,9,27
19,28,9,27
19,28,9,27
19,28,9,27
19,28,9,27
19,28,9,27
19,28,10,27
19,28,10,27
19,28,9,27
19,33,11,32
19,33,10,32
14,33,11,32
19,28,10,32
14,38,11,37
14,33,11,37
14,38,11,37
19,38,11,37
19,38,11,32
19,28,10,27
24,43,12,32
14,33,11,37
14,33,11,32
19,28,10,27
24,43,12,27
19,33,11,32
24,43,12,27
29,48,16,27
29,48,16,32
29,48,16,27
29,48,16,32
29,43,11,32
29,48,16,32
34,43,11,37
34,43,11,37
34,43,11,37
19,28,10,32
34,38,15,37
39,38,15,42
24,43,12,27
39,38,15,42
39,38,15,42
39,33,10,42
39,33,10,42
41,33,10,42
41,33,10,42
41,33,10,47
41,33,10,47
41,28,9,47
36,28,9,47
36,28,9,42
36,28,9,42
36,28,9,47
36,28,9,42
31,23,4,37
26,18,4,37
24,48,16,27
26,18,4,32
26,18,4,32
21,13,6,32
21,13,6,32
19,38,11,37
21,13,6,27
21,13,6,27
19,38,11,37
29,43,11,32
21,8,3,27
24,48,16,27
16,8,3,27
16,8,3,22
16,8,3,22
16,8,3,27
11,3,8,22
11,3,8,22
16,3,8,22
11,3,8,22
11,3,8,18
11,8,8,18
11,8,13,18
11,3,8,18
16,3,3,22
7,8,13,18
7,8,13,14
7,8,13,18
7,8,13,14
7,8,13,14
7,6,16,14
7,6,16,14
7,6,16,14
7,6,16,14
7,6,16,19
7,3,11,19
7,3,11,19
7,6,16,19
12,3,11,19
12,3,11,24
12,3,11,24
12,3,11,24
17,8,6,24
17,8,6,24
17,8,6,19
17,13,11,19
17,13,11,19
12,13,11,14
12,13,11,19
12,13,11,19
12,13,11,14
7,15,16,14
7,15,16,9
7,15,16,14
7,15,16,9
12,15,16,14
7,15,16,9
7,20,21,9
7,20,21,9
7,20,21,14
7,20,21,14
7,15,21,14
7,15,16,14
8,15,16,14
8,15,16,14
8,10,16,19
8,10,11,19
8,15,16,19
10,10,11,19
10,10,11,19
10,10,11,19
10,10,11,14
10,5,6,14
10,5,6,14
5,5,6,14
5,5,6,14
10,10,11,14
5,5,6,9
5,2,1,9
5,2,1,9
2,2,1,9
2,2,1,4
7,3,0,4
2,2,1,4
7,3,0,4
7,3,0,9
2,3,0,4
2,2,1,9
5,5,6,9
12,8,0,9
12,8,0,9
12,8,0,9
12,8,0,14
12,8,0,14
12,7,0,14
12,7,5,14
15,7,5,14
15,7,5,10
15,7,5,10
15,4,5,10
15,4,1,10
15,4,1,10
10,4,1,10
10,4,1,7
10,4,1,7
7,3,0,4
10,9,1,7
6,9,1,7
15,7,5,14
6,9,1,7
6,9,1,12
6,9,1,12
6,8,6,12
6,8,6,12
11,8,6,12
2,3,1,4
11,8,6,17
11,8,6,17
7,8,0,9
11,8,6,17
11,13,4,17
8,13,4,17
8,13,4,17
8,13,4,17
8,13,4,16
8,13,4,16
8,8,4,16
8,8,1,16
8,8,1,16
13,8,1,21
13,8,1,16
13,8,1,21
13,8,1,21
13,3,1,21
13,3,6,21
13,8,1,16
14,3,6,21
14,3,6,21
14,3,6,16
14,3,6,21
13,8,11,16
13,8,11,16
13,8,11,16
13,13,12,16
8,13,12,16
8,13,12,16
8,13,12,21
13,13,12,16
8,13,12,21
8,13,12,21
8,8,10,21
8,8,10,21
13,8,10,21
13,8,10,21
13,8,10,16
13,8,10,16
13,8,10,16
13,12,10,16
8,12,10,16
8,12,10,16
8,12,10,16
8,12,10,11
8,12,10,11
13,8,5,11
13,8,5,11
13,8,5,8
13,8,5,8
8,8,5,11
13,3,8,8
13,3,8,8
15,3,8,8
15,3,8,6
15,3,8,6
15,3,8,6
15,8,7,6
15,8,7,6
20,8,7,6
20,8,7,7
20,8,7,7
20,3,7,7
20,3,2,7
25,3,2,7
20,8,7,6
25,3,2,7
25,3,2,12
25,3,2,12
25,3,2,12
25,8,6,12
20,8,6,17
20,8,6,17
20,8,7,6
15,9,11,17
7,8,0,9
7,3,0,9
15,9,11,15
10,4,1,10
15,14,16,15
11,8,6,12
15,14,16,15
10,9,1,7
15,14,16,15
15,14,16,15
15,14,16,10
15,14,16,10
15,9,16,10
6,9,1,12
15,9,11,10
10,9,11,10
11,13,6,17
10,9,11,10
10,9,11,13
10,9,11,13
7,11,6,13
14,8,11,16
7,11,6,13
7,11,6,10
7,11,6,10
7,10,6,10
13,8,11,16
12,10,6,10
12,10,6,10
12,10,6,15
12,5,4,15
17,5,4,15
17,5,4,15
17,5,4,20
17,5,4,20
17,10,9,20
17,5,4,15
12,10,9,20
12,10,9,20
12,10,9,20
12,10,9,15
12,10,9,15
12,10,9,15
12,10,9,15
12,10,11,15
7,10,11,16
7,8,6,16
7,8,6,16
14,8,6,16
4,8,6,16
4,8,6,21
4,8,6,16
14,3,6,16
13,8,11,16
4,6,8,21
9,6,8,21
9,6,8,21
9,6,8,21
9,6,8,16
9,2,8,16
9,2,3,16
14,2,3,17
14,2,3,17
14,0,3,17
7,10,6,10
8,12,10,11
19,0,6,17
19,0,6,17
19,0,6,22
8,8,5,11
19,0,6,22
18,5,11,22
18,5,11,22
18,5,11,17
15,3,8,8
18,5,11,17
18,5,11,17
15,6,6,17
15,6,6,17
18,6,6,17
13,8,5,8
15,6,6,12
15,9,11,15
15,5,1,12
15,5,1,12
12,5,1,7
7,10,6,7
12,10,6,7
7,10,6,5
12,5,1,12
7,15,6,5
7,10,6,5
7,15,11,5
20,9,11,17
9,15,11,5
9,15,11,5
9,15,11,5
9,15,11,5
9,15,11,5
14,15,9,5
14,15,9,5
14,15,9,10
14,20,9,10
14,20,7,10
19,20,7,10
19,20,7,10
19,20,7,15
19,25,7,15
19,25,8,15
19,20,7,10
19,20,7,15
14,25,8,15
14,25,8,10
14,20,3,10
14,20,3,10
25,8,6,12
19,20,3,10
19,20,3,8
19,20,3,8
19,15,3,8
19,15,7,8
18,15,7,8
18,15,7,8
18,15,7,7
18,15,7,7
18,14,7,7
18,14,7,7
13,14,7,7
13,14,7,7
13,9,6,12
13,9,7,12
8,9,6,17
8,9,6,12
8,9,6,12
8,9,6,17
8,9,6,17
13,14,7,12
8,9,1,17
13,9,1,17
13,9,1,17
13,9,1,12
20,8,6,12
20,8,6,12
13,10,1,12
13,10,6,12
13,10,6,12
8,10,6,12
8,10,6,7
8,10,6,7
8,5,2,7
8,10,6,12
10,9,11,10
11,5,2,7
11,5,2,5
11,5,2,5
11,6,7,5
6,6,7,5
11,6,7,5
20,9,11,17
6,6,7,10
20,8,6,17
6,6,7,10
6,10,6,10
11,10,6,10
11,10,6,10
11,10,6,15
11,10,6,15
11,5,3,15
11,5,3,15
15,14,16,15
16,5,3,15
16,5,3,15
16,5,3,11
15,14,11,15
15,9,11,17
16,2,0,11
11,2,0,11
11,2,0,6
11,2,0,6
6,0,3,6
6,0,3,6
6,0,3,6
6,0,3,8
